Date,Close,High,Low,Open,Volume
2021-02-24,3.4644582271575928,3.5632335151084895,3.4315330584890624,3.555002386482378,859755074
2021-02-25,3.5147602558135986,3.532137469890054,3.479091306305513,3.4973830417371436,540372102
2021-02-26,3.4233016967773438,3.4827499480087636,3.421472435949187,3.454397604473151,769832381
2021-03-01,3.4507391452789307,3.4571412308067706,3.417813978239551,3.4543974487155986,400600102
2021-03-02,3.390376567840576,3.4717748596868416,3.358365920329576,3.4708603382894316,643368721
2021-03-03,3.4790916442871094,3.480920905229853,3.38214539347054,3.383974654413284,517148432
2021-03-04,3.3821451663970947,3.449824763968782,3.3629389090339545,3.4434226781810686,715951650
2021-03-05,3.363853693008423,3.3949496029918063,3.3071492198204164,3.3382453478585097,625701694
2021-03-08,3.2568466663360596,3.399522244882527,3.252273623496681,3.382145030980384,791825886
2021-03-09,3.20563006401062,3.2787970118501044,3.18550906613288,3.2568469711092,1118752371
2021-03-10,3.222092628479004,3.2577615819460544,3.213861281204751,3.2440426698223,445455959
2021-03-11,3.3053197860717773,3.308063568164071,3.2358111485279277,3.2367256698737976,500166304
2021-03-12,3.3080637454986572,3.3217824386408576,3.2769676194705917,3.320867917245963,729295454
2021-03-15,3.254102945327759,3.3071488913212574,3.2248360811594705,3.2934301986549706,396806646
2021-03-16,3.2760531902313232,3.288857362338811,3.2403842381707193,3.2614197572278933,420298125
2021-03-17,3.2705655097961426,3.296174071159089,3.232152776779069,3.2705655097961426,348177666
2021-03-18,3.2842843532562256,3.2952592638531604,3.2696509210722895,3.2742237459740067,321935472
2021-03-19,3.1973984241485596,3.2559319334487813,3.184594253060181,3.247700805208929,753210725
2021-03-22,3.222092628479004,3.246786452247051,3.192825761318135,3.192825761318135,411897499
2021-03-23,3.2047150135040283,3.233067355678503,3.1708753252179074,3.223006748688671,484198283
2021-03-24,3.1589856147766113,3.2175191226305886,3.1470959653298327,3.1900815203814106,643580882
2021-03-25,3.157156467437744,3.1717898994403613,3.1361209498192353,3.14709607833487,313949402
2021-03-26,3.2138609886169434,3.223921595943356,3.1690461704988717,3.1690461704988717,466843998
2021-03-29,3.2202630043029785,3.2431277825787865,3.2001422261971415,3.2239215258264817,467377310
2021-03-30,3.2568466663360596,3.261419491120754,3.2193484564390835,3.2211777171857716,295522870
2021-03-31,3.22575044631958,3.2550173090706562,3.2028858869647276,3.2550173090706562,155181641
2021-04-01,3.262334108352661,3.2696509334997845,3.230323679754905,3.235811244101575,278829509
2021-04-02,3.2934303283691406,3.2952593711675164,3.261419680795894,3.2760531134563866,268663210
2021-04-06,3.272394895553589,3.2989179793173147,3.2614197662569566,3.2961741969931566,248361461
2021-04-07,3.2394697666168213,3.2760532406611924,3.2248363333881316,3.2742239797370916,157320215
2021-04-08,3.254102945327759,3.2650778558498508,3.2147756920005475,3.232152688174198,220107742
2021-04-09,3.2065446376800537,3.244957373143447,3.194654986656973,3.244957373143447,222900205
2021-04-12,3.17179012298584,3.2092883360206477,3.1589859508516285,3.1964839458317336,742060106
2021-04-13,3.155327796936035,3.1919112722307603,3.142523624193824,3.166302708691625,649756429
2021-04-14,3.1608152389526367,3.176363193542939,3.1361211978395294,3.157156717121633,639346007
2021-04-15,3.1269752979278564,3.1534983816350564,3.096793910481143,3.1534983816350564,385693490
2021-04-16,3.1406943798065186,3.1507547701493257,3.1059399472600164,3.1306339894637114,457364401
2021-04-19,3.201056957244873,3.204715260953338,3.1214879248532923,3.1370358791552917,562866585
2021-04-20,3.1937403678894043,3.215690408319025,3.176363152607549,3.18459449953917,397561241
2021-04-21,3.1992275714874268,3.2083734394289465,3.1763630106609733,3.1763630106609733,576098944
2021-04-22,3.1836795806884766,3.2193485306611116,3.1717899306975985,3.2083734020373194,474319143
2021-04-23,3.2138609886169434,3.221177813768397,3.1763629956503254,3.1763629956503254,528040558
2021-04-26,3.1626439094543457,3.2403838913077148,3.1562418240859054,3.2230066778478457,730601406
2021-04-27,3.1699607372283936,3.1781918652501493,3.149839741726446,3.1608148698283594,475711945
2021-04-28,3.170875310897827,3.173619092968601,3.1397794048353047,3.155327357866566,683757117
2021-04-29,3.212946653366089,3.214775914273592,3.1672173112255426,3.179106961987555,518687394
2021-04-30,3.1845943927764893,3.216604821901816,3.1644733958586446,3.2102027360767504,712682901
2021-05-06,3.1498398780822754,3.208373388365462,3.1388647495052515,3.1663023528931222,665838728
2021-05-07,3.1086833477020264,3.1644732936036366,3.1004522193670296,3.1599002507022496,452238441
2021-05-10,3.1086833477020264,3.125146040481395,3.074843658839574,3.125146040481395,478090638
2021-05-11,3.1361210346221924,3.1443523812314997,3.0794167839039215,3.083075087489827,489605374
2021-05-12,3.1480109691619873,3.155327795049385,3.120573362707349,3.1278901885947468,318194217
2021-05-13,3.1160004138946533,3.1370359331487556,3.0967939374989144,3.1242315428666947,484668486
2021-05-14,3.1992275714874268,3.201056832297607,3.1114271956378983,3.125146106577524,603058065
